repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
kesslerio/attio-mcp-server,https://github.com/kesslerio/attio-mcp-server,17,TypeScript,3,0.535150462962963,2.3333333333333335
cartesi/explorer,https://github.com/cartesi/explorer,10,TypeScript,3,9.66579861111111,0.0
huggingface/transformers,https://github.com/huggingface/transformers,150167,Python,2,7.427465277777777,9.0
mui/material-ui,https://github.com/mui/material-ui,96654,TypeScript,2,388.8226446759259,9.0
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,90287,TypeScript,2,16.47659722222222,26.5
grafana/grafana,https://github.com/grafana/grafana,70041,TypeScript,2,131.9524363425926,4.5
astral-sh/uv,https://github.com/astral-sh/uv,68240,Rust,2,4.211556712962963,2.5
rails/rails,https://github.com/rails/rails,57598,Ruby,2,855.9598032407407,24.5
commaai/openpilot,https://github.com/commaai/openpilot,56134,Python,2,4.573460648148148,4.0
go-gitea/gitea,https://github.com/go-gitea/gitea,50836,Go,2,72.82056712962964,14.0
jestjs/jest,https://github.com/jestjs/jest,45055,TypeScript,2,1284.2737037037039,25.5
FuelLabs/fuels-ts,https://github.com/FuelLabs/fuels-ts,43582,TypeScript,2,390.2966956018518,12.0
trpc/trpc,https://github.com/trpc/trpc,38532,TypeScript,2,94.90284722222222,3.0
nextcloud/server,https://github.com/nextcloud/server,30862,PHP,2,50.52642361111111,19.5
keycloak/keycloak,https://github.com/keycloak/keycloak,29744,Java,2,121.63085069444445,2.5
keycloak/keycloak,https://github.com/keycloak/keycloak,29743,Java,2,9.263090277777778,3.5
envoyproxy/envoy,https://github.com/envoyproxy/envoy,26594,C++,2,1.9749421296296297,3.0
pulumi/pulumi,https://github.com/pulumi/pulumi,23811,Go,2,104.9237962962963,3.5
magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,21715,Python,2,0.8680729166666666,11.5
jsdom/jsdom,https://github.com/jsdom/jsdom,21247,JavaScript,2,263.8929166666667,10.5
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,20426,Python,2,4.183883101851852,0.5
python/mypy,https://github.com/python/mypy,19819,Python,2,39.942054398148144,3.5
redwoodjs/graphql,https://github.com/redwoodjs/graphql,17658,TypeScript,2,179.89765046296296,6.5
RPCS3/rpcs3,https://github.com/RPCS3/rpcs3,17461,C++,2,151.95216435185185,7.0
bytecodealliance/wasmtime,https://github.com/bytecodealliance/wasmtime,16931,Rust,2,2.223935185185185,1.5
argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,16040,Go,2,443.70615740740743,16.5
jasmine/jasmine,https://github.com/jasmine/jasmine,15828,JavaScript,2,1287.9706712962961,8.0
saltstack/salt,https://github.com/saltstack/salt,14783,Python,2,585.5330787037037,1.5
kubernetes-sigs/kind,https://github.com/kubernetes-sigs/kind,14570,Go,2,19.80745949074074,9.0
faker-js/faker,https://github.com/faker-js/faker,14374,TypeScript,2,104.66121527777779,8.5
libsdl-org/SDL,https://github.com/libsdl-org/SDL,13680,C,2,1.7186863425925927,4.5
musescore/MuseScore,https://github.com/musescore/MuseScore,13643,C++,2,229.51547453703702,2.0
PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,13578,C++,2,125.56994791666666,3.5
python-pillow/Pillow,https://github.com/python-pillow/Pillow,13086,Python,2,48.82284722222222,17.0
hrydgard/ppsspp,https://github.com/hrydgard/ppsspp,12835,C++,2,15.98916087962963,5.0
MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,12798,TypeScript,2,7.056840277777778,0.0
grpc/grpc-java,https://github.com/grpc/grpc-java,11849,Java,2,2.0392361111111112,1.0
dbt-labs/dbt-core,https://github.com/dbt-labs/dbt-core,11418,Python,2,40.81415509259259,14.0
FerretDB/FerretDB,https://github.com/FerretDB/FerretDB,10524,Go,2,70.36428240740742,3.5
GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,10358,Rust,2,0.512337962962963,3.5
rectorphp/rector,https://github.com/rectorphp/rector,9961,PHP,2,3.574259259259259,7.5
pwndbg/pwndbg,https://github.com/pwndbg/pwndbg,9316,Python,2,57.45042245370371,2.0
conan-io/conan,https://github.com/conan-io/conan,8963,Python,2,22.098327546296296,3.5
Kareadita/Kavita,https://github.com/Kareadita/Kavita,8845,C#,2,21.16122685185185,7.0
mikro-orm/mikro-orm,https://github.com/mikro-orm/mikro-orm,8530,TypeScript,2,227.7346412037037,5.0
risingwavelabs/risingwave,https://github.com/risingwavelabs/risingwave,8363,Rust,2,90.06715856481482,6.5
apache/beam,https://github.com/apache/beam,8301,Java,2,14.86328125,1.5
ngrx/platform,https://github.com/ngrx/platform,8247,TypeScript,2,59.12002893518519,5.0
apache/datafusion,https://github.com/apache/datafusion,7784,Rust,2,308.51938078703705,4.5
sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,7387,Python,2,52.71484953703703,27.5
pyca/cryptography,https://github.com/pyca/cryptography,7232,Python,2,1.5389351851851854,6.5
tutao/tutanota,https://github.com/tutao/tutanota,6882,TypeScript,2,0.060763888888888895,0.0
python-trio/trio,https://github.com/python-trio/trio,6866,Python,2,19.059646990740738,3.0
Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,6851,Python,2,134.07923032407408,3.5
junit-team/junit-framework,https://github.com/junit-team/junit-framework,6799,Java,2,18.991927083333334,4.5
Qiskit/qiskit,https://github.com/Qiskit/qiskit,6496,Python,2,80.90206597222223,3.5
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast,6394,Java,2,389.7808680555556,11.5
letsencrypt/boulder,https://github.com/letsencrypt/boulder,5551,Go,2,1458.630162037037,1.5
GreptimeTeam/greptimedb,https://github.com/GreptimeTeam/greptimedb,5546,Rust,2,13.688217592592594,0.5
cockroachdb/pebble,https://github.com/cockroachdb/pebble,5528,Go,2,3.053819444444444,0.5
rust-lang/miri,https://github.com/rust-lang/miri,5466,Rust,2,11.070225694444446,10.0
google/highway,https://github.com/google/highway,5036,C++,2,3.385005787037037,2.0
treeverse/lakeFS,https://github.com/treeverse/lakeFS,4896,Go,2,141.1406423611111,3.0
astropy/astropy,https://github.com/astropy/astropy,4841,Python,2,536.2880729166666,7.5
hashicorp/terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,4818,Go,2,294.29330439814817,4.0
dlt-hub/dlt,https://github.com/dlt-hub/dlt,4171,Python,2,25.031770833333333,0.0
Rdatatable/data.table,https://github.com/Rdatatable/data.table,3779,R,2,347.72792245370374,7.5
openemr/openemr,https://github.com/openemr/openemr,3691,PHP,2,0.09570601851851852,0.0
